obj,x_1,x_2,con_1,con_2,con_3,initial_x1,initial_x2,nfev,success,message
1.623557806439915e-11,-3.9999754255718183,-6.000110437358609,-13.000159586214973,-6.9998895623394395,-74.80257188295003,-8.092600424480839,2.9023592693578735,1362.0,True,`gtol` termination condition is satisfied.
2.6039603708060234e-14,-3.999998975078571,-6.000004385634229,-13.000006435477086,-6.999995614365246,-74.80010197551161,-6.609819990936462,-11.79162947070051,234.0,True,`gtol` termination condition is satisfied.
1.6242806488432772e-11,-3.9999754456238485,-6.0001104846427635,-13.000159593395066,-6.999889515055778,-74.80257308195694,-6.6954068939416045,-4.505211449901022,228.0,True,`gtol` termination condition is satisfied.
1.004281316094566e-08,-3.9993992246340073,-6.0027558678639075,-13.003957418595892,-6.997243951670573,-74.86423360936418,-2.983187731265496,-8.94770321205104,333.0,True,`gtol` termination condition is satisfied.
1.6213850402941378e-11,-3.999975453883372,-6.000110373991485,-13.00015946622474,-6.999889625707259,-74.80257045270777,-0.3938991217762773,-0.5079049334474508,426.0,True,`gtol` termination condition is satisfied.
2.4143727282343295e-14,-3.9999991040646963,-6.000004303318984,-13.00000609518959,-6.999995696680615,-74.80010041269983,-2.4214491997217626,-3.3932204664432213,387.0,True,`gtol` termination condition is satisfied.
0.00011904033559619786,-3.931173249887553,-6.296964334411412,-13.434617834636306,-6.700667104823067,-81.88422148164511,1.9045618166236569,2.4001253663341977,492.0,True,`gtol` termination condition is satisfied.
1.6395584176447906e-11,-3.9999750356440895,-6.000110739105535,-13.000160667817356,-6.999889260582855,-74.80257787724487,-7.565521022465292,6.022570398214686,1509.0,True,`gtol` termination condition is satisfied.
2.556941609886419e-14,-3.9999990087301596,-6.00000436829611,-13.00000635083579,-6.999995631703399,-74.8001016670815,4.468266201338828,0.0002508351065024783,723.0,True,`gtol` termination condition is satisfied.
1.617789364550216e-11,-3.9999756197333762,-6.000110374429459,-13.000159134962708,-6.999889625273342,-74.80257099393775,3.3428009591921732,-4.7515904198667105,246.0,True,`gtol` termination condition is satisfied.
4.03924369169352e-10,-3.999878778372509,-6.000552044563752,-13.000794487818734,-6.999447948088907,-74.8128617727674,-1.4928380855843617,-2.173621101116698,519.0,True,`gtol` termination condition is satisfied.
4.0161998181688233e-10,-3.99988006565334,-6.000551290298844,-13.000791158992165,-6.999448702509032,-74.81284778798178,-3.448791054598015,8.296775549913008,1413.0,True,`gtol` termination condition is satisfied.
1.628405197438787e-11,-3.9999753462226026,-6.000110564062051,-13.000159871616844,-6.999889435634045,-74.80257466997193,-1.9659373975351553,13.612266808346,1323.0,True,`gtol` termination condition is satisfied.
6.427382190291935e-13,-3.9999951520471813,-6.00002201031147,-13.000031706217108,-6.999977989676778,-74.80051273499988,-1.836877597778468,-12.537152331749256,96.0,True,`gtol` termination condition is satisfied.
1.6062843422716526e-11,-3.9999759710542477,-6.000110213420891,-13.000158271312396,-6.999889786290414,-74.80256825388444,-4.504863974874694,10.52551512013505,1359.0,True,`gtol` termination condition is satisfied.
4.022550374157165e-10,-3.999879710250645,-6.000551498901608,-13.000792078400318,-6.99944849386358,-74.81285165763666,-3.905874354280738,-14.183929023154512,219.0,True,`gtol` termination condition is satisfied.
1.6220831901929427e-11,-3.9999755028876387,-6.000110445980712,-13.000159440205435,-6.999889553719234,-74.8025723372942,-6.2923414150397,-12.98566887789136,327.0,True,`gtol` termination condition is satisfied.
1.6075809584339912e-11,-3.9999759158191606,-6.000110218136254,-13.000158386497933,-6.999889781573722,-74.8025681903035,4.907780171319093,14.117409401315207,1437.0,True,`gtol` termination condition is satisfied.
6.427331041106448e-13,-3.999995152452277,-6.000022010563781,-13.000031705659227,-6.999977989424469,-74.80051274235167,2.0038752669888016,3.0545136421640215,663.0,True,`gtol` termination condition is satisfied.
1.6305436596618698e-11,-3.999975264765606,-6.000110578323622,-13.00016004879241,-6.999889421370462,-74.80257475159436,1.4743979067752235,-9.923236602474663,312.0,True,`gtol` termination condition is satisfied.
1.6145236727270966e-11,-3.9999757377071656,-6.000110345265601,-13.00015886985127,-6.99988965444007,-74.80257067150724,-5.604651522708403,0.7220062590109269,765.0,True,`gtol` termination condition is satisfied.
1.0041388872307618e-08,-3.9993996923068327,-6.002756042938558,-13.003956658324892,-6.997243776876778,-74.86423930952648,-4.6506357831586165,-13.629631042637998,357.0,True,`gtol` termination condition is satisfied.
1.631270048083116e-11,-3.9999754434246775,-6.000110767002606,-13.000159880153252,-6.999889232695882,-74.80257985168076,4.747301680358191,-1.7593524193545989,201.0,True,`gtol` termination condition is satisfied.
4.0082538710207766e-10,-3.999879486824614,-6.0005501355711335,-13.000791161921907,-6.9994498571671535,-74.81281821974895,-2.439993409312711,-5.2937604739590345,234.0,True,`gtol` termination condition is satisfied.
2.588290577014203e-14,-3.9999989864931678,-6.000004380163331,-13.000006407176995,-6.999995619836156,-74.80010188073665,-6.103828708792944,-3.393303440377128,318.0,True,`gtol` termination condition is satisfied.
1.6294086502803444e-11,-3.999975283732653,-6.000110549094825,-13.000159981629519,-6.999889450599728,-74.80257411078468,2.4802534945175125,7.102411688613387,1290.0,True,`gtol` termination condition is satisfied.
1.6106830294046525e-11,-3.999975821802468,-6.00011026244293,-13.000158618837993,-6.999889737264778,-74.80256895283075,-4.311841495875438,-14.609479899163482,303.0,True,`gtol` termination condition is satisfied.
1.6237205609226023e-11,-3.999975452127251,-6.000110467609833,-13.000159563355332,-6.999889532088868,-74.8025726939699,1.961074085488903,-6.918336072110964,207.0,True,`gtol` termination condition is satisfied.
2.484944126744076e-07,-3.9970063293938405,-6.01370389421348,-13.0196912354258,-6.986291624754672,-75.11969110102977,-1.259726672064481,-14.233471744509217,207.0,True,`gtol` termination condition is satisfied.
