obj,x_1,x_2,con_1,con_2,con_3
-2.8500419054299754e-07,-4.006322516824794,-6.00982888068345,-12.997183847033863,-6.99015113220705,-75.05632639887692
-7.584864166491247e-07,-4.011731369630551,-6.011495113803251,-12.988032374542149,-6.988436073680045,-75.11371491438518
-2.4815287334869184e-06,-4.016393429830716,-6.034035241936555,-13.001248382275122,-6.965830385792638,-75.6716753262313
-4.333384137331179e-07,-3.9975387204711015,-6.019125192409028,-13.024047751466824,-6.980871778642512,-75.25186128087294
-6.117388158257455e-07,-4.000661029212105,-5.976573154378658,-12.975251095954448,-7.023426627141531,-74.24096872015
-3.9619598811130086e-06,-4.02935464786771,-6.010907909389639,-12.952198613654218,-6.9886612429346435,-75.15613500257278
-6.134743610090711e-06,-4.020818809655925,-6.061543301074309,-13.01990568176246,-6.938239987507947,-76.35132125706372
-6.048515204533158e-09,-3.9991192618882576,-6.001529988626813,-13.003291464850298,-6.998469623523376,-74.83390620195625
-7.644198733699286e-08,-3.9960435146591764,-6.002486500270397,-13.010399470952045,-6.997505672841477,-74.84703074952132
-2.0903492300320197e-06,-3.978600235853218,-6.007036667171131,-13.049836195464696,-6.9927343578761,-74.90059138618831
-5.79143683182263e-08,-3.99751921167008,-6.005244586593331,-13.01020616325317,-6.994752336251301,-74.9179877978234
-3.400615480869607e-08,-4.00250173506093,-6.002360259745764,-12.997356789623904,-6.9976366109150785,-74.86466417948111
-6.721832296789435e-08,-4.003865579361338,-5.999148134120945,-12.99141697539827,-7.000844394527155,-74.79192951275068
-1.0516054281237835e-06,-3.9846446979169308,-6.0018176020087415,-13.03252820617488,-6.998064505340228,-74.79453924595852
-2.497490972020905e-07,-3.9998701081976296,-6.014990220143832,-13.015250003748573,-6.985009771420228,-75.15979904645869
-5.150172388401453e-07,-4.007680212955622,-5.984914482747306,-12.969554056836063,-7.015056024417173,-74.46299121018912
-4.705782294239782e-06,-3.978301167522479,-5.951504157484732,-12.994901822439774,-7.0482604228498245,-73.5714613770542
-5.671073488874284e-07,-4.005647473403794,-5.980434193330906,-12.969139246523318,-7.019549859691171,-74.34926457520628
-2.729275188746421e-07,-4.006234201276078,-6.009495983613327,-12.997027581061172,-6.990484583753897,-75.04804117126598
-3.0766734793611144e-07,-4.006504132992242,-5.989622831348608,-12.976614565364125,-7.010356016778401,-74.5719850099494
-5.284392461073042e-07,-3.989099122330836,-5.999471998423915,-13.021273753762243,-7.000468587009106,-74.75246947703076
