obj,x_1,x_2,con_1,initial_x1,initial_x2,nfev,success,message
-268.7883808058273,3.2711897954533913,0.049699199112524864,[-3.99013755e-08],0.3493642168413835,0.6851844786810007,45.0,True,`gtol` termination condition is satisfied.
-220.17342700991404,9.072205655157461,0.19079257139018146,[-6.93265623e-09],9.747301680358191,6.620323790322701,258.0,True,`gtol` termination condition is satisfied.
-268.78838080412163,3.271189795065762,0.0496991993440308,[-4.01365359e-08],2.560006590687289,4.853119763020483,48.0,True,`gtol` termination condition is satisfied.
-200.6628278006385,-4.164125564995408,14.799065235257878,[-1.60631561e-08],-1.1038287087929444,5.803348279811436,216.0,True,`gtol` termination condition is satisfied.
-268.7883810331592,3.2711898195323887,0.049699180672160906,[-8.02913114e-09],7.4802534945175125,11.051205844306693,63.0,True,`gtol` termination condition is satisfied.
-268.78838104164396,3.2711898287338337,0.049699176247022615,[-6.9986914e-09],0.6881585041245621,0.19526005041825945,51.0,True,`gtol` termination condition is satisfied.
-220.1734267998953,9.072205656379547,0.19079257840443462,[-3.53985552e-08],6.961074085488903,4.040831963944518,135.0,True,`gtol` termination condition is satisfied.
-268.788380802891,3.2711897947713067,0.04969919951771589,[-4.03059239e-08],3.740273327935519,0.3832641277453913,36.0,True,`gtol` termination condition is satisfied.
-268.78838080614764,3.271189797093536,0.04969919836361527,[-3.98872393e-08],4.933030289024886,5.812851388099222,57.0,True,`gtol` termination condition is satisfied.
-268.7883808058443,3.2711897882890004,0.04969920233649334,[-3.97616295e-08],2.4561069810176894,6.223587560620309,63.0,True,`gtol` termination condition is satisfied.
-200.66282779952945,-4.164125564856222,14.799065228206056,[-1.62898752e-08],0.2630785195246075,8.264668579866289,225.0,True,`gtol` termination condition is satisfied.
-225.7930886800684,9.070535536989253,0.002360702694956129,[0.79035933],9.593660348122373,1.6916432285710719,3000.0,False,The maximum number of function evaluations is exceeded.
-268.78838080588713,3.2711897954672495,0.049699199104284955,[-3.98931235e-08],-0.3011220735542963,0.6269656472296509,51.0,True,`gtol` termination condition is satisfied.
-268.7883808061261,3.271189804158655,0.04969919518447729,[-4.0025717e-08],6.075996379313505,9.86268581488566,69.0,True,`gtol` termination condition is satisfied.
-200.66282784045495,-4.164125566468115,14.79906523999259,[-4.10501144e-09],-1.7804638040006955,6.251301602930057,216.0,True,`gtol` termination condition is satisfied.
-200.66282779956478,-4.164125564859956,14.799065228381417,[-1.62818967e-08],4.657629012222925,9.922219900731621,228.0,True,`gtol` termination condition is satisfied.
