,Mean_ASBO,Lower_ASBO,Upper_ASBO,Mean_CBO,Lower_CBO,Upper_CBO
iter_30,1.1569360694437023,1.1146375878898056,1.1954780201976682,1.0964591879413033,1.039862973305585,1.1465230311230556
iter_31,1.1594782908679644,1.1178478573686208,1.1974648760016888,1.0964591879413033,1.039862973305585,1.1465230311230556
iter_32,1.1539663372627167,1.1113195119184283,1.1927972555088195,1.0954585073519807,1.0400402593817317,1.1445986656847993
iter_33,1.161497601860482,1.1177102852313916,1.2012716520515583,1.0954585073519807,1.0400402593817317,1.1445986656847993
iter_34,1.1582982737575684,1.1147296525054873,1.1978918236872946,1.0941884668176418,1.0440194332589285,1.1391575595465975
iter_35,1.1549341471997987,1.111244007563998,1.1946280128269156,1.0941884668176418,1.0440194332589285,1.1391575595465975
iter_36,1.151165030216237,1.1067322372877424,1.1914708583498246,1.105813586353071,1.0549227276422783,1.1513616323548723
iter_37,1.1467202953674966,1.101808865621807,1.1874195208880134,1.0900297567277606,1.0480613680411925,1.1282974882769115
iter_38,1.150681808547635,1.1060372810955,1.191161761279289,1.0905154660407856,1.0520952343368575,1.1258113463211075
iter_39,1.1473290841677746,1.1020029126099902,1.1883685530638748,1.0905154660407856,1.0520952343368575,1.1258113463211075
iter_40,1.1480469920181184,1.103303087879355,1.1886086160573364,1.0893069064542935,1.0536640807831423,1.1222450732410134
iter_41,1.1440154404271508,1.0978841887180393,1.185713691087107,1.0893069064542935,1.0536640807831423,1.1222450732410134
iter_42,1.1406782986366015,1.094487359995245,1.1824253016444473,1.0893069064542935,1.0536640807831423,1.1222450732410134
iter_43,1.133754522712053,1.0871971857789702,1.1758005337141109,1.0899396405708526,1.0568782549900175,1.1206612436002115
iter_44,1.1270611374573067,1.0799368611902869,1.1695689112143748,1.0916750419866932,1.0583173155029837,1.1226523461136688
iter_45,1.1253186975903948,1.0781634552456092,1.1678516612259278,1.0888714395596957,1.0581009279359266,1.117605311485539
iter_46,1.123015582895354,1.0758963621675386,1.165519243829449,1.0888714395596957,1.0581009279359266,1.117605311485539
iter_47,1.1206903087011442,1.073453249080181,1.1632898123115736,1.0888714395596957,1.0581009279359266,1.117605311485539
iter_48,1.124115595864569,1.077275082462901,1.1663923861594752,1.0887972521635996,1.0580158046481851,1.1175406595040078
iter_49,1.1220674733520546,1.0753945925279538,1.1642076817226068,1.0887972521635996,1.0580158046481851,1.1175406595040078
