,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S3,Lower_S3,Upper_S3,S3
iter_59,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9177027299170117,0.6065119815541653,1.0971287575757933,5,1.0859723382416497,0.8710189365053382,1.2291113783406666,4
iter_60,1.0218593748667857,0.9189424682498235,1.104999550047305,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0855463236900922,0.8695270626132457,1.2291518527463698,4
iter_61,1.0062336430915146,0.8748867269224869,1.1069436629888043,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0855463236900922,0.8695270626132457,1.2291518527463698,4
iter_62,0.9991239809445994,0.8611080598480939,1.1036953737912258,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0851262063940388,0.8680478477810348,1.229193638420038,4
iter_63,0.9991239809445994,0.8611080598480939,1.1036953737912258,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0851262063940388,0.8680478477810348,1.229193638420038,4
iter_64,0.9991239809445994,0.8611080598480939,1.1036953737912258,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0851262063940388,0.8680478477810348,1.229193638420038,4
iter_65,0.9991239809445994,0.8611080598480939,1.1036953737912258,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0851262063940388,0.8680478477810348,1.229193638420038,4
iter_66,0.9986164572041303,0.8608183476553134,1.1030632079337,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0849261199894893,0.8673405572466601,1.2292141863470119,4
iter_67,0.9986164572041303,0.8608183476553134,1.1030632079337,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0849261199894893,0.8673405572466601,1.2292141863470119,4
iter_68,0.9986164572041303,0.8608183476553134,1.1030632079337,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0849261199894893,0.8673405572466601,1.2292141863470119,4
iter_69,0.9986164572041303,0.8608183476553134,1.1030632079337,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0849261199894893,0.8673405572466601,1.2292141863470119,4
iter_70,0.9896647365360121,0.8401824149561308,1.1006615642790045,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0849261199894893,0.8673405572466601,1.2292141863470119,4
iter_71,0.9896647365360121,0.8401824149561308,1.1006615642790045,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
iter_72,0.9896647365360121,0.8401824149561308,1.1006615642790045,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
iter_73,0.9896647365360121,0.8401824149561308,1.1006615642790045,4,0.9176132469544053,0.6064513393691219,1.0970299547557445,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
iter_74,0.9896647365360121,0.8401824149561308,1.1006615642790045,4,0.917563832523271,0.6064177458073051,1.0969754274846986,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
iter_75,0.9888229080287586,0.8397431614810796,1.0995985895323828,4,0.917563832523271,0.6064177458073051,1.0969754274846986,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
iter_76,0.9888229080287586,0.8397431614810796,1.0995985895323828,4,0.917563832523271,0.6064177458073051,1.0969754274846986,5,1.0839630777037943,0.8639109780888741,1.229318839386494,4
