,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S123,Lower_S123,Upper_S123,S123
iter_33,1.018899079527756,0.8330497231838214,1.1486358576962066,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,1.0250834295798115,0.9001552043845348,1.121987135617934,5
iter_34,1.0185924247384592,0.8327476107663161,1.1483270065651803,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,1.0250834295798115,0.9001552043845348,1.121987135617934,5
iter_35,1.0085693583020179,0.8307719033806555,1.134358685759406,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,1.0250834295798115,0.9001552043845348,1.121987135617934,5
iter_36,1.0073092407041353,0.8296836593665394,1.1330131104973529,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,0.9893531686158684,0.7486659274958749,1.143311231030632,5
iter_37,1.0070511857193858,0.8294946554680438,1.132720708199952,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,0.9856132222175179,0.748016032903977,1.1383196081652942,5
iter_38,1.0069047697272675,0.8293928201318777,1.1325521126041411,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,0.9856132222175179,0.748016032903977,1.1383196081652942,5
iter_39,1.0066099693433683,0.8291266938593619,1.132243044580122,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9856132222175179,0.748016032903977,1.1383196081652942,5
iter_40,1.004981177429434,0.8285027306410693,1.1301133785345185,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9838202045422325,0.7464870794829195,1.1364190450871157,5
iter_41,1.0042020398752423,0.8281040137937717,1.1291441599568965,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9823623157034368,0.7450423928273723,1.1349557769815597,5
iter_42,1.0039557809110935,0.8279659052874615,1.1288438169267305,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9818159201728207,0.7444819704692182,1.1344150967137059,5
iter_43,1.0026756511653672,0.8273415453207369,1.1272353155815198,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9797352604642239,0.7344049931666201,1.1355507310374884,5
iter_44,1.002399788946065,0.8271988938301525,1.1268926581339944,5,0.969350833418017,0.75615956333425,1.1117150288666606,4,0.9797352604642239,0.7344049931666201,1.1355507310374884,5
